name,username,password,admin,pending
user1,user1,12345,false,false
user2,user2,12345,false,false
user3,user3,12345,false,false
user4,user4,12345,false,false
user5,user5,12345,false,false
user6,user6,12345,false,false
user7,user7,12345,false,false
user8,user8,12345,false,false
user9,user9,12345,false,false
user10,user10,12345,false,false
AdminJonsson,admin,12345,true,false
Johannes,jojo,12345,true,false
Bender,bend,12345,false,true
Bellend,belly,12345,false,true
AlonsoGarcia,aGarcia,12345,false,true
Fernando,ferno,12345,false,true
Beyonce,queenB,12345,false,true
